Nombre del programa,Tipo de población que atiende:,Nivel educativo predominante:,¿Qué porcentaje de sus beneficiarios son mujeres? ,Zonas de operación:,Volumen de atención semestral:,Temporalidad de los programas:,Descripción de la capacitación/programa:,Madurez del programa:,Colonias principales donde impactan:,"Al concluir su programa, ¿cuál es el siguiente paso para el beneficiario?"
Docentes STEM,Profesionistas / Docentes / Emprendedores,Primaria,51–75%,Urbana,501 - 1000,Anual,"Esta capacitación está diseñada para fortalecer competencias de las y los docentes en la implementación del enfoque STEAM, a lo largo de esta formación las y los participantes explorarán los fundamentos pedagógicos de STEAM, así como las metodologías centradas del estudiante como el aprendizaje basado en proyectos y la resolución de conflictos.",Escalamiento,Comunidad docente en general de diferentes comunidades ,"Las y los particpantes contarán con estrategias, recursos y experiencias aplicables para transformar su práctica educativa con el enfoque STEAM y preparar a sus estudiantes para los desafíos del futuro"
Chicas Conciencia ,Adolescentes (13–17 años),Secundaria,76–100%,Urbana,1 - 50,Anual,"Programa educativo diseñado para inspirar, empderar y acercar a adolescentes al mundo de la ciencia, la tecnología, la ingeniería, las artes y las matemáticas, mediante el acercamiento de referentes femeninas expertas en distintas materias STEAM, a través de talleres, retos, experimentos y proyectos colaborativos las participantes desarrollan habilidades como el pensamiento crítico, la creatividad, la resolución de probelmas, el trabajo en equipo mientras exploran áreas científicas de manera divertida y dinámica. Este programa busca reducir brechas de género en discplinas STEAM, promoviendo espacios seguros donde las niñas puedan descubrir su potencial, fortalecer su confianza y visualizarse como futuras científicas, ingenieras, investigadoras, tecnólogas o agentes de cambio en sus comunidades. ",Escalamiento,Abierto al público con cupo limitado por ser un programa patrocinado,"Que cada participante pueda dar seguimiento a su área de interés, la beneficiaria estará mejor preparada para tomar decisiones informadas sobre su trayectoria educativa, identificando áreas de interés y visualizando posibles caminos profesionales en disciplinas STEAM"
Rodando en STEM,Niñez (6–12 años),Primaria,26–50%,Urbana,501 - 1000,Ciclos escolares,"Programa basado en brindar a docentes y estudiantes herramientas y experiencias de aprendizaje para el desarrollo de proyectos interdisciplinarios basados en la exploración, la investigación y la experimentación, aplicando conocimientos científicos para responder a problemáticas comunitarias reales, concluyendo con una feria de ciencia donde los participantes aplican los conocimientos experimentados en los talleres diseñados para este proyecto. esta feria de ciencias es encabezada por los propios alumnos y exponen los proyectos diseñados a problemáticas comunitarias. ",Implementación,Comunidad docente en general de diferentes comunidades ,Que los participantes se conviertan en actores principales de la educación y agentes de cambio dentro de la comunidad. 
Mes de la ciencia y la tecnología,,Público genera,26–50%,Urbana,Más de 1000,Anual,"Proyecto diseñado para promover la curiosida, el aprendizaje y la innovación a través de experiencias que acercan la ciencia y la tecnología a nuestra comunidad. Durante el mes de octubre contamos con una programación diversa de talleres, música, conferencias especializadas, velada telescópica y el evento de cienciartec. este proyecto busca fomentar el interés por las áreas STEAM y dar espacio a docentes, divulgadores científicos y expertos para hacer actividades de divulgación de manera divertida, todo esto en el marco del día de la ciencia y la tecnología  en México. ",Escalamiento,Comunidad en general,"Que sigan alimentando su curiosidad por las áreas científicas, visualizando posibles trayectorias académicas y profesionales enfocadas en las disciplinas STEAM"
Espacio Americano: IA ,Profesionistas / Docentes / Emprendedores,Público genera,51–75%,Urbana,Más de 1000,Anual,"Proyecto en colaboración con el Consulado General de Estaods Unidos de Ciudad Juárez,  este proyecto busca impulsar el aprendizaje y el fotalecimiento de habilidades clave para el siglo XXI, mediante programas enfocados en STEAM, aprendizaje del idioma inglés, innovación y formación integral",Escalamiento,Comunidad en general,"Que los participantes sigan fortaleciendo su desarrollo académico, personal y profesional meidante la aplicación de los conocimientos y habilidades adquiridas."
Campamento: Aventura de Verano ,Niñez (6–12 años),Primaria,51–75%,Urbana,51 - 200,Anual,"Programa educativo diseñado para brindar a niñas, niños, una experiencia de aprendizaje durante el periodo vacacional, integrando la ciencia, la ingeniería, arte y matemáticas de manera práctica, divertida y significativa. este programa promueve el aprendizaje basado en la exploracióny la experimentación, motivando a los participantes a cuestionar, diseñar, construir y probar soluciones a desafíos reales.",Escalamiento,Comunidad en general,"Que los participantes continúen desarrollando su interés en áreas STEAM, integrando los aprendizajes adquiridos en su vida diaria y académica. "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,, ,,,